,co2_emissions_tonnes_per_person,poverty_percent_people_below_550_a_day,sp_dyn_le00_in,gini,at_least_basic_sanitation_overall_access_percent,energy_use_per_person,sugar_per_person_g_per_day,gdppercapita_us_inflation_adjusted,smoking_adults_percent_of_population_over_age_15,hepb3_immunized_percent_of_one_year_olds,suicide_per_100000_people,working_hours_per_week,literacy_rate_adult_total_percent_of_people_ages_15_and_above,corruption_perception_index_cpi,government_health_spending_per_person_us,food_supply_kilocalories_per_person_and_day,long_term_unemployment_rate_percent,total_health_spending_per_person_us,alcohol_consumption_per_adult_15plus_litres,at_least_basic_water_source_overall_access_percent
Thailand,4.62,7.1,75.5,36.0,95.0,1970.0,109.0,6130.0,21.7,98.0,5.54,44.0,93.5,37.0,134.0,2780.0,0.0723,179.0,7.08,98.2
Timor-Leste,0.387,94.0,69.2,28.7,44.0,57.3,35.0,2670.0,,67.0,,40.8,58.3,38.0,31.7,2130.0,0.113,56.9,0.74,70.2
Togo,0.363,90.1,60.5,43.1,13.9,457.0,33.3,577.0,,81.0,,,60.4,32.0,18.0,2450.0,,40.6,1.92,62.8
Tonga,1.14,31.9,73.2,37.5,93.5,567.0,,3860.0,39.0,99.0,,,99.0,,140.0,,,172.0,3.92,99.9
Trinidad and Tobago,34.2,32.9,70.8,41.3,92.1,14400.0,162.0,15400.0,22.1,90.0,12.6,,98.8,41.0,516.0,3050.0,,861.0,6.16,96.9
Tunisia,2.59,30.3,75.9,35.8,93.1,944.0,95.5,4300.0,26.6,98.0,0.19,,79.1,42.0,129.0,3350.0,4.19,238.0,1.05,94.2
Turkey,4.49,9.9,76.0,41.9,96.4,1660.0,87.3,14900.0,35.5,96.0,1.91,45.9,94.1,40.0,510.0,3710.0,1.57,678.0,3.02,98.9
Turkmenistan,12.5,92.5,68.0,46.4,96.6,4890.0,24.6,7320.0,,97.0,10.3,,99.6,19.0,63.0,2840.0,,106.0,5.0,94.5
Tuvalu,1.01,46.7,,39.1,91.4,,,3620.0,,96.0,,,,,568.0,,,568.0,2.14,99.3
Uganda,0.135,87.7,60.2,42.8,19.2,,32.4,667.0,12.1,82.0,,40.0,73.2,26.0,10.2,2130.0,0.6459999999999999,46.7,16.4,38.9
Ukraine,5.06,6.4,71.8,25.0,95.9,2330.0,126.0,2990.0,,21.0,20.0,39.0,99.7,30.0,133.0,3140.0,1.6,234.0,17.5,97.7
United Arab Emirates,23.3,,77.4,40.0,100.0,7770.0,101.0,41200.0,14.4,94.0,,52.6,90.0,71.0,1080.0,3280.0,1.07,1450.0,0.52,99.6
United Kingdom,6.46,0.7,81.2,33.2,99.1,2760.0,113.0,42500.0,35.7,,6.7,35.9,,82.0,2940.0,3420.0,0.9129999999999999,3500.0,13.2,100.0
United States,16.5,2.0,78.5,41.5,100.0,6800.0,175.0,53100.0,23.9,91.0,10.3,36.6,,75.0,4440.0,3680.0,0.605,8360.0,9.7,99.2
Uruguay,1.97,3.7,77.6,39.7,95.7,1380.0,111.0,14400.0,32.6,95.0,9.52,43.3,98.1,70.0,669.0,3050.0,0.145,998.0,8.99,99.2
Uzbekistan,3.45,96.4,71.4,33.5,100.0,1420.0,27.6,2030.0,12.8,99.0,5.21,,99.4,22.0,39.1,2760.0,,82.4,3.61,91.5
Vanuatu,0.595,72.4,72.3,37.6,53.5,159.0,51.4,2940.0,28.8,59.0,,,83.2,43.0,143.0,2840.0,0.978,157.0,0.96,90.5
Venezuela,6.03,35.6,74.7,46.9,94.9,2270.0,106.0,13700.0,29.8,78.0,6.08,38.2,95.5,18.0,232.0,2630.0,0.795,663.0,7.6,97.4
Vietnam,1.8,28.7,76.5,35.3,78.2,655.0,27.4,1830.0,24.3,95.0,,40.3,93.4,35.0,31.4,2750.0,0.299,82.9,3.91,91.2
Yemen,0.865,81.6,65.2,36.7,59.7,323.0,77.9,432.0,,81.0,,41.5,65.3,16.0,15.3,2220.0,0.547,63.2,0.2,70.4
Zambia,0.28800000000000003,87.2,62.3,57.1,31.1,635.0,28.1,1650.0,13.4,81.0,,,61.4,37.0,43.9,1930.0,,72.9,3.56,61.2
Zimbabwe,0.78,74.0,61.7,43.2,38.6,750.0,80.6,927.0,15.0,93.0,,48.2,83.6,22.0,25.4,2110.0,2.42,66.1,4.96,66.6
